route_key,source,destination,route_name
1,CCU,MAA,CCU -> MAA
2,BOM,CCU,BOM -> CCU
3,MAA,BOM,MAA -> BOM
4,DEL,HYD,DEL -> HYD
5,BOM,HYD,BOM -> HYD
6,BLR,BOM,BLR -> BOM
7,DEL,BLR,DEL -> BLR
8,BOM,DEL,BOM -> DEL
9,DEL,MAA,DEL -> MAA
10,DEL,BOM,DEL -> BOM
11,MAA,DEL,MAA -> DEL
12,CCU,DEL,CCU -> DEL
13,HYD,DEL,HYD -> DEL
14,HYD,MAA,HYD -> MAA
15,HYD,CCU,HYD -> CCU
16,BOM,MAA,BOM -> MAA
17,HYD,BOM,HYD -> BOM
18,DEL,CCU,DEL -> CCU
19,MAA,HYD,MAA -> HYD
20,CCU,HYD,CCU -> HYD
21,MAA,CCU,MAA -> CCU
22,CCU,BLR,CCU -> BLR
23,MAA,BLR,MAA -> BLR
24,HYD,BLR,HYD -> BLR
25,BLR,CCU,BLR -> CCU
26,BOM,BLR,BOM -> BLR
27,BLR,MAA,BLR -> MAA
28,CCU,BOM,CCU -> BOM
29,BLR,HYD,BLR -> HYD
30,BLR,DEL,BLR -> DEL
