metric,value
raw_flights_rows,1020.0
raw_payments_rows,1000.0
raw_bookings_rows,1000.0
raw_passengers_rows,1039.0
flights_duplicates_removed,15.0
flights_airline_imputed,69.0
flights_airline_unresolved,0.0
flights_overnight_count,122.0
flights_quarantined,1.0
flights_duration_anomalies,0.0
flights_final_rows,1004.0
payments_amount_imputed,78.0
payments_rows,1000.0
payments_unique_bookings,637.0
payments_settled_rows,637.0
payments_multi_attempt_bookings,267.0
bookings_status_filled,45.0
bookings_invalid_status,30.0
passengers_duplicates_removed,39.0
passengers_last_name_filled,0.0
bookings_no_payment_record,363.0
payment_coverage_pct,63.7
revenue_naive,8005891.53
revenue_settled,5107104.33
revenue_confirmed_only,1698568.58
revenue_overstatement_pct,56.76
